sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,SERIAL.battery2,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
5/26/2025,11:43:40.69 AM,0m 0.0s,0.0,44.5019160551199,1.0749923151925,0,0,0.6,289,0,0,0,0,0,0,0,0,0,-4.6,1.7,-97.6,262.4,,Starting Motors,Other,Takeoff (RC Assisted),24,5,True,,Mini 3,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,,False,False,False,False,False,0,False,False,False,False,50,7.486,1139,2280,7.486,True,3.743,3.743,,False,False,0.717,96.4,96.4,96.4,,,,,,,,,Idle,,,,,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,Flight mode changed to Starting Motors.,
5/26/2025,11:43:40.79 AM,0m 0.1s,0.1,44.5019160569177,1.0749922615736,0,0,0.6,289,0,0,0,0,0,0,0,0,0,-4.6,1.7,-97.6,262.4,,Starting Motors,Other,Takeoff (RC Assisted),24,5,True,,Mini 3,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,1,False,False,False,False,False,0,False,False,False,False,50,7.486,1139,2280,7.486,True,3.743,3.743,,False,False,0.717,96.4,96.4,96.4,,,,,,,,,Idle,,,,,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,,
5/26/2025,11:43:40.89 AM,0m 0.2s,0.2,44.5019159945678,1.0749922049279,0,0,0.3,289,0,0,0,0,0,0,0,0,0,-4.6,1.8,-97.5,262.5,,Starting Motors,Other,Takeoff (RC Assisted),23,5,True,,Mini 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,1,False,False,False,False,False,0,False,False,False,False,50,7.486,1139,2280,7.486,True,3.743,3.743,,False,False,0.717,96.4,96.4,96.4,,,,,,,,,Idle,,,,,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,,
5/26/2025,11:43:40.99 AM,0m 0.3s,0.3,44.5019159414675,1.0749921863343,0,0,0.3,289,0,0,0,0,0,0,0,0,0,-4.6,1.8,-97.5,262.5,,Starting Motors,Other,Takeoff (RC Assisted),23,5,True,,Mini 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,1,False,False,False,False,False,0,False,False,False,False,50,7.485,1139,2280,7.485,False,3.744,3.741,0.003,False,False,0.717,96.4,96.4,96.4,,,,,,,,,Idle,,,,,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,,
5/26/2025,11:43:41.09 AM,0m 0.4s,0.4,44.5019159224473,1.074992155441,0,0,0.3,289,0,0,0,0,0,0,0,0,0,-4.6,1.8,-97.5,262.5,,Starting Motors,Other,Takeoff (RC Assisted),23,5,True,,Mini 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,100,364,364,364,1684,1,False,False,False,False,False,0,False,False,False,False,50,7.485,1139,2280,7.485,False,3.744,3.741,0.003,False,False,0.717,96.4,96.4,96.4,,,,,,,,,Idle,,,,,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,,
5/26/2025,11:43:41.19 AM,0m 0.5s,0.5,44.5019159578562,1.0749921010054,0,0,0.3,289,0,0,0,0,0,0,0,0,0,-4.6,1.8,-97.5,262.5,,Starting Motors,Other,Takeoff (RC Assisted),23,5,True,,Mini 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,50,7.485,1139,2280,7.485,False,3.744,3.741,0.003,False,False,0.717,96.4,96.4,96.4,,,,,,,,,Idle,,,,,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,,
5/26/2025,11:43:41.29 AM,0m 0.6s,0.6,44.5019159834684,1.0749920885135,0,0,0.3,289,0,0,0,0,0,0,0,0,0,-4.6,1.8,-97.5,262.5,,Starting Motors,Other,Takeoff (RC Assisted),23,5,True,,Mini 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,50,7.485,1139,2280,7.485,False,3.744,3.741,0.003,False,False,0.717,96.4,96.4,96.4,,,,,,,,,Idle,,,,,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,,
5/26/2025,11:43:41.40 AM,0m 0.7s,0.7,44.5019160010556,1.074992126998,0,0,0.3,289,0,0,0,0,0,0,0,0,0,-4.6,1.8,-97.5,262.5,,Starting Motors,Other,Takeoff (RC Assisted),23,5,True,,Mini 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,50,7.485,1139,2280,7.474,False,3.744,3.741,0.003,False,False,0.717,96.4,96.4,96.4,,57,,18,10,2830.7,707.68,,Idle,,20,,10,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,44.5021717305329,1.0757134555643,209.5,,393.7,True,1,1,False,False,False,False,,True,False,False,Course Lock,177.1,,16.4,32,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,Data Recorder File Index is 32.; Set Return to Home (RTH) altitude to 54 m (177 ft).; Set maximum flight altitude to 120 m (394 ft).,
5/26/2025,11:43:41.50 AM,0m 0.8s,0.8,44.5019159928742,1.0749921369435,0,0,0.3,289,0.1,0,0,0,0,0,0,0,0,-4.6,1.8,-97.5,262.5,,Starting Motors,Other,Takeoff (RC Assisted),23,5,True,,Mini 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1294,1024,1,False,False,False,False,False,0,False,False,False,False,50,7.485,1139,2280,7.474,False,3.744,3.741,0.003,False,False,0.717,96.4,96.4,96.4,,57,,18,10,2830.7,707.68,,Idle,,20,,10,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,44.5021717305329,1.0757134555643,209.5,,393.7,True,1,1,False,False,False,False,,True,False,False,Course Lock,177.1,,16.4,32,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,,
5/26/2025,11:43:41.60 AM,0m 0.9s,0.9,44.5019159467828,1.0749921044166,0,0,0.3,289,0.1,0,0,0,0,0,0,0,0,-4.6,1.8,-97.5,262.5,,Starting Motors,Other,Takeoff (RC Assisted),23,5,True,,Mini 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1684,1052,1,False,False,False,False,False,0,False,False,False,False,50,7.485,1139,2280,7.474,False,3.744,3.741,0.003,False,False,0.717,96.4,96.4,96.4,,57,,18,10,2830.7,707.68,,Idle,,20,,10,,10,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,44.5021717305329,1.0757134555643,209.6,,393.7,True,1,1,False,False,False,False,,True,False,False,Course Lock,177.1,,16.4,32,,,,,Calm,False,False,,1.17.1,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,632,1.2,13.1,16.783089,4.697574,0,0,DJI Mini 3,687XMA80020B34,53HQM8M0M5BE9Y,396XM9R02M08B6,52XPM9LCA4005Q,DJI Fly,,1.17.1,36C3D50D-A9A3-1497-FB84-826A67955FC2,687XMA80020B34,53HQM8M0M5BE9Y,,396XM9R02M08B6,52XPM9LCA4005Q,,,,,,
