Epoch 0  Train Loss: 0.8953 | Train Dice: 0.0105 | Val Loss: 0.6552 | Val Dice: 0.1538
Epoch 1  Train Loss: 0.7148 | Train Dice: 0.0061 | Val Loss: 0.6389 | Val Dice: 0.1542
Epoch 2  Train Loss: 0.6399 | Train Dice: 0.0065 | Val Loss: 0.6065 | Val Dice: 0.1628
Epoch 3  Train Loss: 0.5853 | Train Dice: 0.0070 | Val Loss: 0.5004 | Val Dice: 0.1679
Epoch 4  Train Loss: 0.5472 | Train Dice: 0.0075 | Val Loss: 0.4691 | Val Dice: 0.1727
Epoch 5  Train Loss: 0.5160 | Train Dice: 0.0078 | Val Loss: 0.4548 | Val Dice: 0.1768
Epoch 6  Train Loss: 0.5044 | Train Dice: 0.0079 | Val Loss: 0.4140 | Val Dice: 0.1782
Epoch 7  Train Loss: 0.4757 | Train Dice: 0.0080 | Val Loss: 0.4652 | Val Dice: 0.1749
Epoch 8  Train Loss: 0.4663 | Train Dice: 0.0081 | Val Loss: 0.4220 | Val Dice: 0.1796
Epoch 9  Train Loss: 0.4448 | Train Dice: 0.0081 | Val Loss: 0.3552 | Val Dice: 0.1844
Epoch 10  Train Loss: 0.4244 | Train Dice: 0.0084 | Val Loss: 0.4184 | Val Dice: 0.1771
Epoch 11  Train Loss: 0.4267 | Train Dice: 0.0083 | Val Loss: 0.3731 | Val Dice: 0.1854
Epoch 12  Train Loss: 0.4069 | Train Dice: 0.0083 | Val Loss: 0.3816 | Val Dice: 0.1864
Epoch 13  Train Loss: 0.4024 | Train Dice: 0.0086 | Val Loss: 0.3499 | Val Dice: 0.1860
Epoch 14  Train Loss: 0.3884 | Train Dice: 0.0086 | Val Loss: 0.3121 | Val Dice: 0.1975
Epoch 15  Train Loss: 0.3788 | Train Dice: 0.0085 | Val Loss: 0.3416 | Val Dice: 0.1980
Epoch 16  Train Loss: 0.3694 | Train Dice: 0.0086 | Val Loss: 0.3487 | Val Dice: 0.1878
Epoch 17  Train Loss: 0.3557 | Train Dice: 0.0087 | Val Loss: 0.2810 | Val Dice: 0.1972
Epoch 18  Train Loss: 0.3554 | Train Dice: 0.0086 | Val Loss: 0.2992 | Val Dice: 0.1956
Epoch 19  Train Loss: 0.3525 | Train Dice: 0.0087 | Val Loss: 0.2765 | Val Dice: 0.1933
Epoch 20  Train Loss: 0.3522 | Train Dice: 0.0088 | Val Loss: 0.2653 | Val Dice: 0.1922
Epoch 21  Train Loss: 0.3391 | Train Dice: 0.0087 | Val Loss: 0.2797 | Val Dice: 0.1957
Epoch 22  Train Loss: 0.3361 | Train Dice: 0.0087 | Val Loss: 0.2913 | Val Dice: 0.1951
Epoch 23  Train Loss: 0.3310 | Train Dice: 0.0090 | Val Loss: 0.2592 | Val Dice: 0.1944
Epoch 24  Train Loss: 0.3231 | Train Dice: 0.0087 | Val Loss: 0.2687 | Val Dice: 0.1970
Epoch 25  Train Loss: 0.3224 | Train Dice: 0.0089 | Val Loss: 0.2527 | Val Dice: 0.1936
Epoch 26  Train Loss: 0.3168 | Train Dice: 0.0088 | Val Loss: 0.3429 | Val Dice: 0.1925
Epoch 27  Train Loss: 0.3059 | Train Dice: 0.0089 | Val Loss: 0.2400 | Val Dice: 0.1977
Epoch 28  Train Loss: 0.3147 | Train Dice: 0.0090 | Val Loss: 0.2699 | Val Dice: 0.1983
Epoch 29  Train Loss: 0.3036 | Train Dice: 0.0090 | Val Loss: 0.3008 | Val Dice: 0.1988
Epoch 30  Train Loss: 0.3010 | Train Dice: 0.0088 | Val Loss: 0.2442 | Val Dice: 0.1951
Epoch 31  Train Loss: 0.2995 | Train Dice: 0.0091 | Val Loss: 0.2335 | Val Dice: 0.1974
Epoch 32  Train Loss: 0.2908 | Train Dice: 0.0090 | Val Loss: 0.2597 | Val Dice: 0.1929
Epoch 33  Train Loss: 0.2960 | Train Dice: 0.0088 | Val Loss: 0.2357 | Val Dice: 0.1969
Epoch 34  Train Loss: 0.2943 | Train Dice: 0.0092 | Val Loss: 0.2350 | Val Dice: 0.1988
Epoch 35  Train Loss: 0.2847 | Train Dice: 0.0090 | Val Loss: 0.2270 | Val Dice: 0.1999
Epoch 36  Train Loss: 0.2805 | Train Dice: 0.0091 | Val Loss: 0.2243 | Val Dice: 0.1982
Epoch 37  Train Loss: 0.2767 | Train Dice: 0.0089 | Val Loss: 0.2615 | Val Dice: 0.1980
Epoch 38  Train Loss: 0.2832 | Train Dice: 0.0090 | Val Loss: 0.2349 | Val Dice: 0.1954
Epoch 39  Train Loss: 0.2780 | Train Dice: 0.0089 | Val Loss: 0.2647 | Val Dice: 0.1929
Epoch 40  Train Loss: 0.2713 | Train Dice: 0.0091 | Val Loss: 0.2395 | Val Dice: 0.2002
Epoch 41  Train Loss: 0.2332 | Train Dice: 0.0092 | Val Loss: 0.2037 | Val Dice: 0.2061
Epoch 42  Train Loss: 0.2367 | Train Dice: 0.0093 | Val Loss: 0.2054 | Val Dice: 0.2037
Epoch 43  Train Loss: 0.2328 | Train Dice: 0.0091 | Val Loss: 0.2042 | Val Dice: 0.2017
Epoch 44  Train Loss: 0.2330 | Train Dice: 0.0094 | Val Loss: 0.1884 | Val Dice: 0.2040
Epoch 45  Train Loss: 0.2313 | Train Dice: 0.0094 | Val Loss: 0.1922 | Val Dice: 0.2041
Epoch 46  Train Loss: 0.2304 | Train Dice: 0.0092 | Val Loss: 0.2162 | Val Dice: 0.1973
Epoch 47  Train Loss: 0.2233 | Train Dice: 0.0093 | Val Loss: 0.2033 | Val Dice: 0.1999
Epoch 48  Train Loss: 0.2206 | Train Dice: 0.0093 | Val Loss: 0.1959 | Val Dice: 0.1993
Epoch 49  Train Loss: 0.2152 | Train Dice: 0.0092 | Val Loss: 0.1794 | Val Dice: 0.2030
Epoch 50  Train Loss: 0.2045 | Train Dice: 0.0094 | Val Loss: 0.1916 | Val Dice: 0.2056
Epoch 51  Train Loss: 0.2054 | Train Dice: 0.0094 | Val Loss: 0.1801 | Val Dice: 0.2035
Epoch 52  Train Loss: 0.2053 | Train Dice: 0.0093 | Val Loss: 0.1733 | Val Dice: 0.2049
Epoch 53  Train Loss: 0.2027 | Train Dice: 0.0093 | Val Loss: 0.1790 | Val Dice: 0.2011
Epoch 54  Train Loss: 0.2059 | Train Dice: 0.0093 | Val Loss: 0.1886 | Val Dice: 0.2063
Epoch 55  Train Loss: 0.2064 | Train Dice: 0.0093 | Val Loss: 0.1790 | Val Dice: 0.2037
Epoch 56  Train Loss: 0.2019 | Train Dice: 0.0095 | Val Loss: 0.1791 | Val Dice: 0.2043
Epoch 57  Train Loss: 0.1923 | Train Dice: 0.0095 | Val Loss: 0.1710 | Val Dice: 0.2036
Epoch 58  Train Loss: 0.1916 | Train Dice: 0.0096 | Val Loss: 0.1676 | Val Dice: 0.2055
Epoch 59  Train Loss: 0.1961 | Train Dice: 0.0094 | Val Loss: 0.1692 | Val Dice: 0.2045
Epoch 60  Train Loss: 0.1935 | Train Dice: 0.0095 | Val Loss: 0.1659 | Val Dice: 0.2066
Epoch 61  Train Loss: 0.1909 | Train Dice: 0.0095 | Val Loss: 0.1682 | Val Dice: 0.2062
Epoch 62  Train Loss: 0.1906 | Train Dice: 0.0095 | Val Loss: 0.1695 | Val Dice: 0.2063
Epoch 63  Train Loss: 0.1889 | Train Dice: 0.0096 | Val Loss: 0.1664 | Val Dice: 0.2067
Epoch 64  Train Loss: 0.1912 | Train Dice: 0.0095 | Val Loss: 0.1668 | Val Dice: 0.2064
Epoch 65  Train Loss: 0.1889 | Train Dice: 0.0095 | Val Loss: 0.1626 | Val Dice: 0.2054
Epoch 66  Train Loss: 0.1859 | Train Dice: 0.0095 | Val Loss: 0.1590 | Val Dice: 0.2055
Epoch 67  Train Loss: 0.1907 | Train Dice: 0.0094 | Val Loss: 0.1604 | Val Dice: 0.2065
Epoch 68  Train Loss: 0.1871 | Train Dice: 0.0095 | Val Loss: 0.1623 | Val Dice: 0.2041
Epoch 69  Train Loss: 0.1881 | Train Dice: 0.0096 | Val Loss: 0.1632 | Val Dice: 0.2054
Epoch 0  Train Loss: 0.9547 | Train Dice: 0.0077 | Val Loss: 0.7181 | Val Dice: 0.1606
Epoch 1  Train Loss: 0.7500 | Train Dice: 0.0082 | Val Loss: 0.6218 | Val Dice: 0.1627
